n,b_regr_casgdp_home,u_regr_casgdp_home,l_regr_casgdp_home,b_regr_bell_casgdp_foreign,u_regr_bell_casgdp_foreign,l_regr_bell_casgdp_foreign,b_regr_third_casgdp_foreign,u_regr_third_casgdp_foreign,l_regr_third_casgdp_foreign
5314,.35966226,.5419547,.17736983,.1478309,.28383285,.011828953,-.0016917974,.0014890238,-.0048726187
5232,1.4321958,1.7853498,1.0790417,1.2986137,1.7617598,.83546764,.0039683208,.0062912982,.001645344
5153,1.532876,1.9438587,1.1218934,.35890219,.60190338,.11590099,.011980416,.018737011,.0052238218
5077,1.5755324,2.118618,1.0324469,.38859978,.65147132,.12572823,.0094812093,.019762976,-.00080055784
5004,1.3005769,1.5682415,1.0329124,.55126047,1.0094924,.093028523,.0083540911,.017344341,-.00063615863
4931,.62389314,.83766228,.41012406,.24346079,.93447441,-.44755283,.0084224902,.017857123,-.0010121419
4869,.26793984,.41771048,.11816917,.10143232,.58785647,-.38499182,.010484053,.019757017,.0012110877
4807,-.021553593,.13578023,-.17888741,-.088788956,.0076926369,-.18527055,.0012210142,.013052499,-.010610471
4747,-.0013275387,.16470024,-.16735531,-.10375219,-.0246296,-.18287477,.00020086591,.011616888,-.011215157
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
