n,b_regr_gdp_home,u_regr_gdp_home,l_regr_gdp_home,b_regr_bell_gdp_foreign,u_regr_bell_gdp_foreign,l_regr_bell_gdp_foreign,b_regr_third_gdp_foreign,u_regr_third_gdp_foreign,l_regr_third_gdp_foreign
6752,-8.3527117,-5.4011674,-11.304255,-.29316932,.53715819,-1.1234968,-.6962254,-.265481,-1.1269698
6692,-13.111992,-8.7333317,-17.490652,.5120436,1.5942602,-.57017303,-1.0023723,-.47396892,-1.5307755
6632,-13.798476,-8.0995808,-19.497372,1.1393685,2.9833753,-.7046383,-1.1018264,-.52950722,-1.6741456
6572,-16.726063,-10.060385,-23.391741,1.3214982,4.5763946,-1.9333984,-2.2721949,-1.5982534,-2.9461365
6512,-20.371946,-11.250465,-29.493427,1.5574001,5.5544138,-2.4396133,-2.1443393,-1.1639677,-3.1247108
6453,-19.889528,-10.277103,-29.501951,1.2565751,5.4074206,-2.8942704,-2.4244223,-1.6666011,-3.1822433
6394,-18.692247,-11.308809,-26.075686,.7684862,4.6667356,-3.1297634,-2.8388364,-1.9830749,-3.6945982
6335,-16.661509,-10.883453,-22.439566,.74394208,3.9204586,-2.4325743,-2.7469628,-1.7556893,-3.7382364
6276,-15.240137,-9.7561674,-20.724108,.84406513,3.6090686,-1.9209384,-2.2638154,-1.1770554,-3.3505754
6217,-14.185462,-9.0261278,-19.344797,.74550831,3.0935988,-1.6025822,-1.9507864,-.96716237,-2.9344103
6158,-13.127066,-8.0251884,-18.228943,1.1318082,3.7390389,-1.4754226,-1.7928512,-.78050607,-2.8051963
6099,-12.370471,-6.9252625,-17.81568,1.6754773,4.5331945,-1.1822402,-1.4601415,-.30776852,-2.6125147
6040,-11.812405,-6.3419757,-17.282835,1.5623076,4.3220453,-1.1974304,-1.4072502,-.21489409,-2.5996063
5981,-10.463865,-4.9847903,-15.94294,1.7520097,4.6040583,-1.1000388,-1.2521858,-.01219064,-2.4921811
5922,-9.6935663,-4.0527697,-15.334363,1.687482,4.3676591,-.99269527,-1.3114107,.004373461,-2.6271949
5863,-9.111805,-3.3454266,-14.878184,1.8383609,4.9246473,-1.2479256,-.9906373,.40182287,-2.3830974
5804,-9.4736347,-3.2410145,-15.706255,1.3972607,5.346354,-2.5518327,-1.5942608,.2840606,-3.4725821
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
