n,b_regr_all_casgdp_nearby,u_regr_all_casgdp_nearby,l_regr_all_casgdp_nearby,b_regr_all_casgdp_distant,u_regr_all_casgdp_distant,l_regr_all_casgdp_distant
5488,-.21849564,-.080760047,-.35623121,-.59057134,-.40420201,-.7769407
5487,-.65328604,-.46951935,-.8370527,-.59911931,-.27602586,-.92221272
5485,-.95035034,-.60556167,-1.295139,-.2572473,.18290836,-.69740295
5483,-2.1476593,-1.9720079,-2.3233106,.083393306,.46393353,-.29714692
5481,-3.1344039,-2.9428725,-3.3259354,.47813585,.92250574,.033765983
5479,-2.7043393,-2.3341608,-3.074518,.40504327,1.0426484,-.23256189
5477,-2.2130084,-1.5521343,-2.8738828,.097979575,.77730036,-.58134121
5476,-2.1020756,-1.7485181,-2.4556332,-.027650157,.69570643,-.75100678
5417,-1.333272,-.9684552,-1.6980886,-.082650147,.52017355,-.68547386
5358,-1.2249177,-.81439203,-1.6354433,.19104534,.85745531,-.47536463
5299,-1.2268587,-.69525599,-1.7584616,.34047064,1.1162196,-.43527842
5240,-1.0294086,-.49813384,-1.5606833,.30815473,1.3562908,-.73998141
5181,-.85721058,-.36377001,-1.3506511,.41976327,1.4975929,-.65806639
5122,-.4604995,.053833731,-.97483271,.396575,1.4609947,-.66784465
5063,-.54622746,.00052865793,-1.0929835,.64488357,1.6671849,-.37741783
5004,-.16272852,.38675395,-.71221101,.60137248,1.7282747,-.52552968
4945,-.15823744,.41245469,-.72892958,.058084343,1.5135239,-1.3973552
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
