n,b_regr_all_gdp_nearby,u_regr_all_gdp_nearby,l_regr_all_gdp_nearby,b_regr_all_gdp_distant,u_regr_all_gdp_distant,l_regr_all_gdp_distant
7436,3.3360331,6.2895236,.38254234,.043313827,.6473254,-.56069773
7376,4.0057945,5.0083294,3.0032597,-.37765029,.62296146,-1.378262
7316,4.5478115,6.1270766,2.9685459,.62500906,1.7879248,-.53790671
7256,8.4764748,11.762727,5.1902227,.31639242,1.3737211,-.74093628
7196,4.4510574,8.2310381,.671076,1.0931365,2.3964531,-.21018021
7136,1.6581423,4.0031662,-.68688136,2.3794217,3.7054706,1.0533729
7076,1.8458805,3.1683426,.52341855,1.0710155,2.2897279,-.1476969
7016,-.022271432,1.5864378,-1.6309807,.6124655,3.0023742,-1.7774432
6956,.17341886,2.540467,-2.1936293,.52633858,2.6943855,-1.6417083
6896,2.5009546,4.5360284,.46588081,.69800109,2.2776213,-.88161916
6836,.26641744,2.0618918,-1.5290568,1.4628971,3.1551754,-.22938113
6776,-.13931742,1.5943867,-1.8730216,2.4089689,4.7645235,.053414393
6716,-.96119404,.60672206,-2.5291102,2.4229777,4.9054198,-.059464268
6656,-.39468849,1.1649103,-1.9542872,1.367732,3.8973081,-1.1618441
6596,-.42826843,1.1405548,-1.9970917,2.3251648,4.9556026,-.30527297
6536,-1.348315,.35443288,-3.0510628,1.9684865,4.8571868,-.92021358
6476,-1.5620925,-.45855114,-2.6656339,1.8223196,4.999495,-1.3548559
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
