n,b_regr_casgdp_home,u_regr_casgdp_home,l_regr_casgdp_home,b_regr_bell_casgdp_foreign,u_regr_bell_casgdp_foreign,l_regr_bell_casgdp_foreign,b_regr_third_casgdp_foreign,u_regr_third_casgdp_foreign,l_regr_third_casgdp_foreign
7436,1.615891,3.3087983,-.077016346,-.32550719,-.23429731,-.41671705,-.042613178,.12541604,-.2106424
7376,8.0684891,11.78768,4.349298,.28956801,.4339647,.14517134,.73930985,.91684937,.56177032
7316,10.286279,13.873179,6.6993775,.9775815,1.1686769,.78648627,.89335763,1.2045047,.58221048
7256,11.605835,14.678536,8.5331345,1.6079868,1.8927991,1.3231745,1.5877738,1.9253228,1.2502249
7196,8.5103111,10.195788,6.8248334,2.8092806,3.5856349,2.0329263,2.0386527,2.2702415,1.8070636
7136,7.6133952,17.079927,-1.8531365,1.1733057,1.6176908,.72892058,.95112979,1.2390163,.66324329
7076,9.738574,16.699333,2.7778158,1.8763529,2.4489253,1.3037804,1.0781556,1.4696023,.68670899
7016,.70006949,5.7507606,-4.3506217,.46041954,.81705058,.10378849,-.39238611,.29496938,-1.0797416
6956,1.6619962,6.527483,-3.2034905,.16407329,.66505712,-.33691055,-.36124638,.4948062,-1.217299
6896,2.2392364,3.5797267,.89874625,.96535349,1.2956911,.63501585,-.066510506,.43870956,-.57173055
6836,2.5507603,4.1501513,.95136929,.81349993,1.2583879,.36861187,.41424677,.90437651,-.075882986
6776,1.2361135,2.9026289,-.43040171,.10892588,.47448605,-.25663429,.37650564,1.1392568,-.38624549
6716,2.7286375,4.9802346,.47704038,.020725945,.58061087,-.53915894,.13000175,1.1476157,-.88761222
6656,1.1483299,3.2081218,-.91146195,.098750457,.63214344,-.43464249,-.018146463,.82627344,-.86256635
6596,.54310137,2.4390259,-1.3528231,-.22423832,.20602727,-.65450394,.028083008,.80144489,-.74527889
6536,-.2842916,1.8284799,-2.397063,-.0015399442,.42083687,-.42391676,.14601535,.92501074,-.63298005
6476,-.88650703,.6275118,-2.4005258,-.43947643,.038983796,-.91793662,-.25881085,.61150187,-1.1291236
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
