n,b_regr_casgdp_home,u_regr_casgdp_home,l_regr_casgdp_home,b_regr_bell_casgdp_foreign,u_regr_bell_casgdp_foreign,l_regr_bell_casgdp_foreign,b_regr_third_casgdp_foreign,u_regr_third_casgdp_foreign,l_regr_third_casgdp_foreign
6752,-6.5230069,-4.309495,-8.7365189,-.50714916,-.17542605,-.83887219,-.40432253,-.36380005,-.44484502
6692,-11.6527,-7.6138444,-15.691556,-.37755477,.19624038,-.95134991,-.71898234,-.62957567,-.80838907
6632,-12.29673,-3.5809054,-21.012554,.015645223,1.0024822,-.97119176,-.7243892,-.52816349,-.92061496
6572,-14.107495,-6.0045147,-22.210476,-.20040654,1.3992941,-1.8001072,-1.036158,-.770621,-1.301695
6512,-17.377069,-8.2124271,-26.541712,-.45773375,1.5588429,-2.4743104,-1.3883579,-1.0990908,-1.6776249
6453,-15.524401,-5.2265911,-25.82221,-.47622025,1.5784225,-2.530863,-1.2632178,-.83024246,-1.6961931
6394,-11.87664,-1.2367089,-22.516571,-.76941866,1.1236821,-2.6625195,-1.3595713,-.65351695,-2.0656257
6335,-10.716007,-3.4010377,-18.030977,-.65504766,.97546899,-2.2855644,-1.6153336,-1.1418208,-2.0888462
6276,-8.596983,-1.2312458,-15.96272,-.39427453,1.0833093,-1.8718584,-1.2925009,-.83883154,-1.7461702
6217,-7.4404545,-.65636963,-14.224539,-.31227112,1.0917424,-1.7162845,-1.1679029,-.78120679,-1.5545992
6158,-6.0029507,.4350948,-12.440996,-.24742684,1.2062473,-1.7011009,-1.1007694,-.70111054,-1.5004282
6099,-5.7714715,.17823385,-11.721177,.028819872,1.7863268,-1.7286869,-1.0674435,-.67120898,-1.4636779
6040,-5.5316033,.44311571,-11.506322,-.056492489,1.6939756,-1.8069605,-.95553881,-.5537166,-1.357361
5981,-5.0965133,-.058287561,-10.134739,.1725326,1.9340932,-1.589028,-.8905192,-.46919754,-1.3118408
5922,-3.8813515,.87804383,-8.6407471,.03357416,1.8613309,-1.7941825,-.71681017,-.26581791,-1.1678025
5863,-3.2021523,1.4553689,-7.8596735,.24170883,2.065233,-1.5818154,-.61240655,-.13230798,-1.0925051
5804,-2.8745022,1.1307887,-6.8797932,-.28558668,1.9083211,-2.4794946,-.92264026,-.37368473,-1.4715958
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
