n,b_regr_gdp_home,u_regr_gdp_home,l_regr_gdp_home,b_regr_bell_gdp_foreign,u_regr_bell_gdp_foreign,l_regr_bell_gdp_foreign,b_regr_third_gdp_foreign,u_regr_third_gdp_foreign,l_regr_third_gdp_foreign
6812,-8.6854391,-5.7259092,-11.644969,-.40472254,.35948128,-1.1689264,-.70885628,-.33940625,-1.0783063
6752,-14.04916,-9.645484,-18.452835,.26597211,1.2051169,-.67317265,-1.021691,-.57783383,-1.4655482
6692,-14.883846,-8.8856173,-20.882074,.76783848,2.3773639,-.8416869,-1.1348262,-.58344412,-1.6862082
6632,-18.043707,-10.974505,-25.112907,.82095355,3.7769759,-2.1350689,-2.3255949,-1.7661208,-2.8850691
6572,-21.961273,-12.445418,-31.477127,.92866045,4.5616541,-2.7043331,-2.2435629,-1.3969134,-3.0902126
6513,-21.753738,-11.596844,-31.910631,.50537217,4.2378974,-3.2271531,-2.5149314,-1.460507,-3.5693557
6454,-20.960348,-13.02586,-28.894836,-.10167233,3.3385015,-3.541846,-2.966908,-1.8069112,-4.1269045
6395,-19.140772,-13.098979,-25.182566,-.24727124,2.4395492,-2.9340916,-2.9032054,-1.7091769,-4.0972342
6336,-17.993393,-12.110101,-23.876684,-.27736682,1.953105,-2.5078385,-2.4538715,-1.0827705,-3.8249726
6277,-17.242447,-11.786036,-22.698858,-.49706575,1.2968698,-2.2910013,-2.1897025,-.93667662,-3.4427283
6218,-16.474916,-11.251113,-21.698721,-.24174167,1.7622097,-2.245693,-2.0699236,-.77573174,-3.3641152
6159,-15.964024,-10.624387,-21.303661,.1650483,2.3391838,-2.0090873,-1.7625657,-.44215518,-3.0829763
6100,-15.581062,-10.134924,-21.027201,-.087541863,1.9352744,-2.110358,-1.7262064,-.41572297,-3.03669
6041,-14.458399,-9.2796211,-19.637177,-.040386852,2.0286367,-2.1094105,-1.6207013,-.28841147,-2.952991
5982,-13.878325,-8.7742939,-18.982355,-.25219244,1.5920931,-2.096478,-1.7082539,-.23778,-3.1787279
5923,-13.360898,-8.3017511,-18.420044,-.24809593,1.8873799,-2.3835719,-1.3945478,-.031708393,-2.7573874
5864,-13.829562,-8.7777033,-18.88142,-.83913916,1.9961373,-3.6744156,-1.9939995,-.72801608,-3.2599831
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
