,confidence_0.99_lower,confidence_0.99_upper,confidence_0.95_lower,confidence_0.95_upper,confidence_0.90_lower,confidence_0.90_upper,coefficient,se
0,-14.280392308004537,-1.9960727722434948,-12.7894939868928,-3.486971093355229,-12.034111280793581,-4.242353799454449,-8.138232540124015,2.3535993578582177
1,-31.763830079833163,-1.1392989567437795,-28.046670270644668,-4.856458765932276,-26.16345040603137,-6.739678630545573,-16.45156451828847,5.8669422150268895
2,-23.833146017371924,-7.120384222013595,-21.804363519707223,-9.149166719678295,-20.77659417174464,-10.176936067640877,-15.47676511969276,3.2014813354552274
3,-47.74184771847446,-15.425309559440347,-43.81848726246256,-19.34867001545225,-41.831073248564266,-21.336084029350545,-31.583578638957405,6.189953943610258
4,-79.80483217618776,-39.379366931770235,-74.89648625991262,-44.287712848045366,-72.4102932312764,-46.773905876681596,-59.592099553979,7.742422781886565
5,-70.04093480561244,-32.825677960748564,-65.52186999112686,-37.34474277523413,-63.23301980391892,-39.63359296244208,-51.4333063831805,7.126914840829724
6,-67.9603260248519,-26.380132987881616,-62.910666034590704,-31.4297929781428,-60.353260443898414,-33.98719856883509,-47.17022950636675,7.962054638121754
7,-78.5450514511708,-28.439005508388544,-72.45929539935744,-34.5247615602019,-69.3773833480917,-37.606673611467656,-53.49202847977968,9.593703363305172
8,-97.26067375564429,-7.738331134911313,-86.38627339359762,-18.61273149695799,-80.87973350403168,-24.119271386523938,-52.499502445277805,17.13896051367792
