n,b_regr_bell_gdp_nearby,u_regr_bell_gdp_nearby,l_regr_bell_gdp_nearby,b_regr_bell_gdp_distant,u_regr_bell_gdp_distant,l_regr_bell_gdp_distant
6812,-2.3407385,-1.3667378,-3.3147392,-4.3164186,.41972792,-9.0525646
6752,-1.0507019,1.0644538,-3.1658576,-11.548495,-.8987155,-22.198275
6692,-4.0071807,-1.2404327,-6.7739291,-8.1997643,.50581264,-16.90534
6632,-6.7460365,-3.4258807,-10.066193,-4.7732625,3.0001886,-12.546714
6572,-6.64749,-3.2498736,-10.045107,-1.5234052,2.3857522,-5.4325628
6513,-3.5975218,-.57580775,-6.6192355,-3.0723162,.28561383,-6.4302464
6454,-3.2268472,.17194216,-6.6256366,-2.1573081,1.6460009,-5.9606171
6395,-1.2353795,2.1451454,-4.6159043,-2.689002,2.0364957,-7.4144998
6336,-1.6226877,1.8164326,-5.0618081,-3.0354199,1.8134394,-7.8842793
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
