n,b_regr_bell_trade_nearby,u_regr_bell_trade_nearby,l_regr_bell_trade_nearby,b_regr_bell_trade_distant,u_regr_bell_trade_distant,l_regr_bell_trade_distant
5488,.025504975,.096914642,-.045904689,-.0038189362,.0074897958,-.015127668
5487,.12110792,.21798475,.024231091,-.00015972799,.018933278,-.019252734
5485,.20536819,.32508898,.085647389,.00010468274,.025824757,-.025615392
5483,.19208567,.33054551,.053625822,.0031344846,.03600223,-.029733259
5481,.21357927,.36164126,.065517277,.010208108,.048304874,-.027888659
5479,.13406618,.2829577,-.014825347,.020545214,.065179542,-.024089115
5477,.036328696,.1992698,-.12661241,.023784293,.067125119,-.019556535
5476,.057111897,.21516126,-.10093746,.024344932,.061409727,-.012719861
5417,.11416985,.27023539,-.041895691,.022882609,.055996109,-.010230893
5358,.075814269,.23321429,-.081585757,.029973293,.065694444,-.0057478598
5299,.088100329,.26764545,-.091444798,.027548257,.065769143,-.010672634
5240,.092393823,.27434513,-.089557484,.024551297,.063866749,-.014764155
5181,.16478004,.34459472,-.015034622,.028803697,.069065876,-.011458485
5122,.20290862,.38444674,.02137048,.02994624,.071985379,-.0120929
5063,.12713541,.33448058,-.080209762,.028062142,.075752035,-.019627752
5004,.1410396,.44527695,-.16319776,.036383424,.088473327,-.015706481
4945,.13798229,.45764101,-.18167642,.03535784,.091583259,-.020867577
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
