n,b_regr_casgdp_home,u_regr_casgdp_home,l_regr_casgdp_home,b_regr_third_casgdp_foreign,u_regr_third_casgdp_foreign,l_regr_third_casgdp_foreign
5921,1.6650809,3.2413878,.088774033,-.075226888,.13752514,-.28797892
5921,6.7599621,7.8529978,5.6669259,.74023861,.92257261,.5579046
5921,8.5495996,10.087367,7.0118332,.79924852,1.1311421,.46735477
5918,11.144639,14.4068,7.8824782,1.3046751,1.7708731,.83847708
5915,7.9544597,9.3906431,6.5182757,1.5934334,1.8984135,1.2884532
5912,7.2510271,17.334919,-2.832865,.97522193,1.3182048,.63223922
5908,9.9792175,17.941109,2.0173259,.82522762,1.30328,.34717518
5904,.68293488,6.0481958,-4.6823263,-.54917896,.29195973,-1.3903177
5844,2.2325227,7.9145365,-3.4494908,-.4068462,.6165837,-1.4302762
5784,2.268492,3.6752336,.86175013,-.14659411,.38211989,-.67530811
5724,2.3655598,4.0247641,.70635575,.39707497,.92376781,-.12961787
5664,1.3103784,3.1508086,-.53005189,.16072972,.73714405,-.41568458
5604,3.0396769,5.2978511,.78150254,-.14185081,.67634577,-.96004742
5544,1.0387118,3.2886384,-1.2112148,-.27534738,.40104374,-.95173848
5484,.25201321,2.0898163,-1.58579,-.042021722,.84836709,-.93241054
5424,-.5064255,1.7317575,-2.7446084,.22655663,1.2269591,-.77384591
5364,-1.0395458,.42288232,-2.5019739,-.22440097,.78397888,-1.2327808
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
