n,b_regr_casgdp_home,u_regr_casgdp_home,l_regr_casgdp_home,b_regr_third_casgdp_foreign,u_regr_third_casgdp_foreign,l_regr_third_casgdp_foreign
7496,1.4046175,3.1442943,-.33505923,-.19904234,-.088166736,-.30991796
7436,7.898097,11.945356,3.8508379,.48898214,.60931754,.36864671
7376,9.8076668,13.553761,6.061573,.56422126,.7754702,.35297233
7316,10.835179,14.237523,7.4328365,1.2022282,1.4372215,.96723473
7256,7.6019616,9.3470926,5.8568306,1.5764344,1.8628658,1.2900028
7196,6.401773,15.411029,-2.6074831,.40839568,.66627663,.15051471
7136,8.4741011,15.013757,1.9344445,.50646836,.77383095,.23910572
7076,-.5515216,4.2045622,-5.3076057,-1.0064369,-.51907247,-1.4938014
7016,.38790599,4.990725,-4.2149134,-1.0220448,-.40340164,-1.6406878
6956,.83693159,1.8068916,-.13302833,-.77204281,-.46514067,-1.0789449
6896,1.1139823,2.582896,-.35493141,-.32154393,-.006492883,-.63659501
6836,-.32768866,.82020515,-1.4755825,-.40216202,.071593314,-.87591732
6776,1.0742002,3.4161029,-1.2677028,-.68874264,.015902184,-1.3933874
6716,-.50196046,1.5867324,-2.5906532,-.8514291,-.32624108,-1.3766171
6656,-1.1744181,.19577138,-2.5446076,-.83845818,-.39537182,-1.2815444
6596,-2.0365183,.13242321,-4.2054601,-.72580785,-.27827588,-1.1733397
6536,-2.6501305,-1.544337,-3.7559242,-1.1396246,-.61719519,-1.6620539
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
